State,Cycle,District,StateDistrict,FEC_ID,Cand_Name,Gen_Votes,Gen_Vote_Pct,Winner,PartyName,Party,Incumbent,PresYear,PartyInPres,TotDistVotes,TotDistDisb,TotDisb,CandinDist
GA,2012,7,GA-7,H0GA07133,"Woodall, Rob",156689,0.6216,1,Republican,1,1,1,0,252066,459589.12,426844.12,2
GA,2016,7,GA-7,H0GA07133,"Woodall, Rob",174081,0.6038,1,Republican,1,1,1,0,288301,390260.26,390260.26,1
GA,2006,8,GA-8,H0GA08032,"Marshall, Jim ",80660,0.5055,1,Democrat,0,1,0,0,159568,3831093.39,1849160.10,2
OH,2010,1,OH-1,H8OH01043,"Chabot, Steve",103770,0.5149,1,Republican,1,0,0,0,201518,4011126.28,2039473.61,2
OH,2006,1,OH-1,H8OH01043,"Chabot, Steve ",105680,0.5225,1,Republican,1,1,0,1,202264,5041584.04,2991575.80,2
KY,2012,6,KY-6,H4KY06072,"Chandler, Ben ",141438,0.4668,0,Democrat,0,1,1,1,303000,4744720.13,2533044.02,2
GA,2010,8,GA-8,H0GA08099,"Scott, Austin",102770,0.5270,1,Republican,1,0,0,0,195020,2844680.13,1024630.75,2
GA,2016,8,GA-8,H0GA08099,"Scott, Austin ",173983,0.6764,1,Republican,1,1,1,0,257208,1043968.00,1043968.00,1
GA,2012,8,GA-8,H0GA08099,"Scott, Austin",197789,1.0000,1,Republican,1,1,1,0,197789,817934.63,817934.63,1
GA,2014,8,GA-8,H0GA08099,"Scott, James Austin",129938,0.9991,1,Republican,1,1,0,0,130057,800954.98,800954.98,1
GA,2010,9,GA-9,H0GA09030,"Graves, Tom",173512,1.0000,1,Republican,1,1,0,0,173512,1309823.61,1309823.61,1
GA,2012,14,GA-14,H0GA09030,"Graves, Tom ",159947,0.7297,1,Republican,1,1,1,0,219192,1160244.90,1126844.40,2
GA,2016,14,GA-14,H0GA09030,"Graves, Tom ",216743,0.9990,1,Republican,1,1,1,0,216953,777699.83,777699.83,1
GA,2014,14,GA-14,H0GA09030,"Graves, John Thomas ""Tom""",118782,1.0000,1,Republican,1,1,0,0,118782,736722.39,736722.39,1
